ID_CLIENT_SYNTH,RIB,Nom,Prénom,Solde_MAD,Statut_Compte,SIGNATURE_ID_REF,PATH_GENUINE,PATH_FORGED,ID_Beneficiaires_Payes
85,230315250000010370362892,El mokhtar,Hassna,8166.33,Actif,096,backend/app/data/sign_data\096,backend/app/data/sign_data\096_forg,"[872, 34]"
86,230157350000010493819590,Hamdi,Laith,31975.97,Inactif,097,backend/app/data/sign_data\097,backend/app/data/sign_data\097_forg,[948]
87,230758360000010617276249,Ameziane,Chaabane,11898.06,Actif,098,backend/app/data/sign_data\098,backend/app/data/sign_data\098_forg,"[54, 355, 760]"
88,230675290000010740732977,Yacoubi,Kadour,23160.67,Actif,099,backend/app/data/sign_data\099,backend/app/data/sign_data\099_forg,[622]
89,230904200000010864189630,Moumen,Moaouia,52553.38,Actif,100,backend/app/data/sign_data\100,backend/app/data/sign_data\100_forg,"[901, 634]"
90,230251360000010987646364,El alaoui,Awicha,93223.35,Inactif,101,backend/app/data/sign_data\101,backend/app/data/sign_data\101_forg,"[802, 652]"
91,230249510000011111103010,Raji,Alaeeddine,2274.95,Inactif,102,backend/app/data/sign_data\102,backend/app/data/sign_data\102_forg,[396]
92,230812180000011234559717,Salah,Amal,50381.92,Inactif,104,backend/app/data/sign_data\104,backend/app/data/sign_data\104_forg,[527]
93,230469320000011358016411,Tijani,Bouhout,35984.95,Inactif,106,backend/app/data/sign_data\106,backend/app/data/sign_data\106_forg,"[520, 3]"
94,230870990000011481473180,Chami,Elchahid,13877.53,Actif,107,backend/app/data/sign_data\107,backend/app/data/sign_data\107_forg,"[968, 984]"
95,230713840000011604929837,Lakhdar,Kaima,27683.63,Actif,110,backend/app/data/sign_data\110,backend/app/data/sign_data\110_forg,"[82, 995]"
96,230645430000011728386599,Faiz,Rahima,78582.63,Actif,111,backend/app/data/sign_data\111,backend/app/data/sign_data\111_forg,"[359, 664, 130]"
97,230275840000011851843200,Samir,Saif Elislam,92554.39,Actif,112,backend/app/data/sign_data\112,backend/app/data/sign_data\112_forg,[812]
98,230709850000011975299928,Brahim,Abdelmouttalib,30942.51,Actif,113,backend/app/data/sign_data\113,backend/app/data/sign_data\113_forg,"[221, 372, 889, 383]"
99,230442770000012098756624,Khattabi,Ezzine,16525.58,Inactif,114,backend/app/data/sign_data\114,backend/app/data/sign_data\114_forg,[823]
100,230810860000012222213300,Mansour,Ramdane,52170.43,Actif,115,backend/app/data/sign_data\115,backend/app/data/sign_data\115_forg,"[174, 822]"
101,230384510000012345670026,Mokhtari,Jabir,98483.89,Inactif,116,backend/app/data/sign_data\116,backend/app/data/sign_data\116_forg,"[122, 572, 671]"
102,230791160000012469126703,Rahali,Abdelkhalek,85560.71,Actif,117,backend/app/data/sign_data\117,backend/app/data/sign_data\117_forg,[485]
103,230673430000012592583481,Rida,Hadi,53049.05,Actif,118,backend/app/data/sign_data\118,backend/app/data/sign_data\118_forg,[7]
104,230414180000012716040167,Abou,Sobhi,71585.56,Inactif,119,backend/app/data/sign_data\119,backend/app/data/sign_data\119_forg,[587]
105,230207960000012839496859,Zine,Najia,77692.57,Actif,121,backend/app/data/sign_data\121,backend/app/data/sign_data\121_forg,[45]
106,230337800000012962953525,Talbi,Fikri,76100.56,Inactif,122,backend/app/data/sign_data\122,backend/app/data/sign_data\122_forg,[798]
107,230681950000013086410271,Madani,Osmane,20416.93,Actif,123,backend/app/data/sign_data\123,backend/app/data/sign_data\123_forg,[413]
108,230498070000013209866939,Azizi,Ouardia,96362.13,Inactif,124,backend/app/data/sign_data\124,backend/app/data/sign_data\124_forg,"[473, 856]"
109,230563870000013333323612,Jamali,Majd,68363.3,Actif,125,backend/app/data/sign_data\125,backend/app/data/sign_data\125_forg,"[878, 935, 71]"
110,230527650000013456780370,El mustapha,Khnata,44682.54,Actif,126,backend/app/data/sign_data\126,backend/app/data/sign_data\126_forg,"[591, 972, 342]"
111,230264640000013580237036,El amri,Makhlouf,43205.25,Actif,128,backend/app/data/sign_data\128,backend/app/data/sign_data\128_forg,[22]
112,230997500000013703693749,Tahiri,Masrour,3224.09,Actif,129,backend/app/data/sign_data\129,backend/app/data/sign_data\129_forg,"[373, 375]"
113,230153550000013827150404,Loukili,Saadoune,17823.22,Inactif,130,backend/app/data/sign_data\130,backend/app/data/sign_data\130_forg,"[945, 51]"
114,230797490000013950607133,El filali,Hicham,89183.97,Actif,131,backend/app/data/sign_data\131,backend/app/data/sign_data\131_forg,"[497, 668]"
115,230298390000014074063854,Lahlou,Hayat,32284.12,Actif,132,backend/app/data/sign_data\132,backend/app/data/sign_data\132_forg,"[412, 299]"
116,230816570000014197520595,Ismaili,Talha,55034.4,Inactif,133,backend/app/data/sign_data\133,backend/app/data/sign_data\133_forg,"[699, 308]"
117,230454380000014320977254,Atif,Habiba,26747.81,Inactif,135,backend/app/data/sign_data\135,backend/app/data/sign_data\135_forg,"[563, 519, 365]"
118,230119740000014444433936,Raji,Nahid,6664.95,Actif,136,backend/app/data/sign_data\136,backend/app/data/sign_data\136_forg,[803]
119,230767080000014567890635,Najib,Barka,67738.2,Inactif,137,backend/app/data/sign_data\137,backend/app/data/sign_data\137_forg,"[701, 525]"
120,230155740000014691347354,Badri,Abdenbi,10466.54,Actif,138,backend/app/data/sign_data\138,backend/app/data/sign_data\138_forg,"[289, 638]"
121,230898960000014814804038,Marouane,Alia,985.12,Actif,139,backend/app/data/sign_data\139,backend/app/data/sign_data\139_forg,[713]
122,230285440000014938260787,Ramzi,Mahjoub,18723.54,Actif,140,backend/app/data/sign_data\140,backend/app/data/sign_data\140_forg,"[2, 873]"
123,230206640000015061717418,Hanafi,Ibrahim,91217.24,Inactif,141,backend/app/data/sign_data\141,backend/app/data/sign_data\141_forg,[110]
124,230489230000015185174177,Charif,Hassan,68421.59,Inactif,142,backend/app/data/sign_data\142,backend/app/data/sign_data\142_forg,"[472, 361]"
125,230457360000015308630807,Jamal,Othmana,37767.79,Actif,143,backend/app/data/sign_data\143,backend/app/data/sign_data\143_forg,[845]
126,230698780000015432087500,Nouri,Safae,38393.08,Inactif,144,backend/app/data/sign_data\144,backend/app/data/sign_data\144_forg,"[598, 834]"
127,230104760000015555544208,Chaouki,Ouael,69491.95,Inactif,145,backend/app/data/sign_data\145,backend/app/data/sign_data\145_forg,"[268, 727, 625]"
128,230714970000015679000918,Benani,Houcine,93272.1,Actif,146,backend/app/data/sign_data\146,backend/app/data/sign_data\146_forg,[939]
129,230731450000015802457612,El hachimi,Mimoun,99953.12,Actif,147,backend/app/data/sign_data\147,backend/app/data/sign_data\147_forg,[195]
130,230563710000015925914389,Anouar,Ouihab,18581.87,Inactif,148,backend/app/data/sign_data\148,backend/app/data/sign_data\148_forg,"[605, 577]"
131,230792540000016049371044,Benomar,Raeda,36939.88,Inactif,149,backend/app/data/sign_data\149,backend/app/data/sign_data\149_forg,"[606, 326]"
132,230635940000016172827794,Lazrak,Hada,83927.13,Inactif,151,backend/app/data/sign_data\151,backend/app/data/sign_data\151_forg,"[446, 378]"
133,230208190000016296284419,Faiz,Addi,75517.46,Inactif,152,backend/app/data/sign_data\152,backend/app/data/sign_data\152_forg,[506]
134,230457220000016419741143,Lakhal,Smahane,12297.58,Actif,153,backend/app/data/sign_data\153,backend/app/data/sign_data\153_forg,[368]
135,230339280000016543197837,Maarouf,Issam,73219.53,Actif,156,backend/app/data/sign_data\156,backend/app/data/sign_data\156_forg,[732]
136,230279690000016666654511,Salim,Lara,42915.72,Inactif,157,backend/app/data/sign_data\157,backend/app/data/sign_data\157_forg,"[217, 411]"
137,230928370000016790111236,Samir,Nezar,9079.9,Inactif,159,backend/app/data/sign_data\159,backend/app/data/sign_data\159_forg,[654]
138,230319080000016913567962,Bouzid,Kadhem,49441.95,Actif,161,backend/app/data/sign_data\161,backend/app/data/sign_data\161_forg,"[757, 29, 585]"
139,230774060000017037024685,Ouardi,Safira,13267.17,Inactif,162,backend/app/data/sign_data\162,backend/app/data/sign_data\162_forg,[920]
140,230363890000017160481376,Mekouar,Farouk,29428.69,Inactif,163,backend/app/data/sign_data\163,backend/app/data/sign_data\163_forg,[352]
141,230278650000017283938013,Fares,Abdelouarete,2387.39,Actif,164,backend/app/data/sign_data\164,backend/app/data/sign_data\164_forg,[444]
142,230808920000017407394741,Kaddouri,Akram,64351.25,Inactif,166,backend/app/data/sign_data\166,backend/app/data/sign_data\166_forg,"[212, 666, 335]"
143,230613010000017530851426,Hatim,Fahim,95059.57,Actif,167,backend/app/data/sign_data\167,backend/app/data/sign_data\167_forg,"[799, 835]"
144,230911720000017654308163,Benani,Aref,24732.05,Inactif,169,backend/app/data/sign_data\169,backend/app/data/sign_data\169_forg,[953]
145,230408190000017777764883,Mustapha,Rachad,21353.07,Inactif,170,backend/app/data/sign_data\170,backend/app/data/sign_data\170_forg,[96]
146,230598770000017901221566,Tahri,Yakout,67822.44,Inactif,171,backend/app/data/sign_data\171,backend/app/data/sign_data\171_forg,"[436, 151]"
147,230337230000018024678277,Zaki,Ijlal,72499.36,Inactif,172,backend/app/data/sign_data\172,backend/app/data/sign_data\172_forg,"[874, 785]"
148,230308100000018148134982,Anas,Abdelhamid,6842.68,Actif,173,backend/app/data/sign_data\173,backend/app/data/sign_data\173_forg,"[183, 211]"
149,230365720000018271591630,Hatim,Diae,73103.79,Actif,174,backend/app/data/sign_data\174,backend/app/data/sign_data\174_forg,"[227, 722]"
150,230691190000018395048391,Hassan,Soukaina,53735.16,Actif,175,backend/app/data/sign_data\175,backend/app/data/sign_data\175_forg,"[862, 266]"
151,230647590000018518505007,Nejjar,Nabaouia,50430.24,Inactif,176,backend/app/data/sign_data\176,backend/app/data/sign_data\176_forg,"[260, 891]"
152,230586180000018641961745,Aziz,Hinda,37797.34,Actif,177,backend/app/data/sign_data\177,backend/app/data/sign_data\177_forg,"[210, 882]"
153,230313630000018765418484,Hasnaoui,Kouider,96057.14,Inactif,178,backend/app/data/sign_data\178,backend/app/data/sign_data\178_forg,"[941, 746]"
154,230884120000018888875187,Kettani,Elghazouani,26794.22,Actif,179,backend/app/data/sign_data\179,backend/app/data/sign_data\179_forg,"[982, 238, 596]"
155,230772820000019012331862,Lachhab,Alia,78218.01,Inactif,180,backend/app/data/sign_data\180,backend/app/data/sign_data\180_forg,"[327, 139, 471]"
156,230144880000019135788527,Nassiri,Mahrez,54891.59,Inactif,181,backend/app/data/sign_data\181,backend/app/data/sign_data\181_forg,"[275, 575, 751, 310]"
157,230949900000019259245299,Moussaoui,Elbahia,65698.94,Actif,182,backend/app/data/sign_data\182,backend/app/data/sign_data\182_forg,[855]
158,230125560000019382701939,Bensaid,Abdelouahid,21264.97,Inactif,183,backend/app/data/sign_data\183,backend/app/data/sign_data\183_forg,[169]
159,230181110000019506158613,Soussi,Safia,93887.89,Actif,184,backend/app/data/sign_data\184,backend/app/data/sign_data\184_forg,"[9, 140]"
160,230221000000019629615341,Ait el,Chahrazad,84446.23,Inactif,185,backend/app/data/sign_data\185,backend/app/data/sign_data\185_forg,[107]
161,230106000000019753072012,Benani,Aizza,50884.34,Inactif,186,backend/app/data/sign_data\186,backend/app/data/sign_data\186_forg,[698]
162,230882350000019876528743,Hamdaoui,Aafrae,8078.76,Inactif,187,backend/app/data/sign_data\187,backend/app/data/sign_data\187_forg,"[224, 317, 838]"
163,230817670000019999985422,Anas,Hamid,89858.3,Actif,188,backend/app/data/sign_data\188,backend/app/data/sign_data\188_forg,[400]
164,230762320000020123442156,Fouad,Radi,29277.42,Actif,189,backend/app/data/sign_data\189,backend/app/data/sign_data\189_forg,"[773, 202]"
165,230882200000020246898847,Ouali,Bouazza,66443.43,Inactif,190,backend/app/data/sign_data\190,backend/app/data/sign_data\190_forg,[392]
166,230465090000020370355517,El alaoui,Jaber,76191.4,Actif,191,backend/app/data/sign_data\191,backend/app/data/sign_data\191_forg,[405]
167,230639840000020493812272,Saoud,Hada,99300.01,Actif,192,backend/app/data/sign_data\192,backend/app/data/sign_data\192_forg,"[815, 284]"
168,230162900000020617268929,Regragui,Rabeh,79300.82,Inactif,193,backend/app/data/sign_data\193,backend/app/data/sign_data\193_forg,"[915, 546]"
169,230313160000020740725638,Zouhair,Fariha,30505.48,Actif,194,backend/app/data/sign_data\194,backend/app/data/sign_data\194_forg,"[79, 736, 459]"
170,230581290000020864182335,Morchid,Jad,70488.69,Actif,195,backend/app/data/sign_data\195,backend/app/data/sign_data\195_forg,"[861, 60]"
171,230870360000020987639037,Fares,Chouaib,35148.94,Inactif,196,backend/app/data/sign_data\196,backend/app/data/sign_data\196_forg,"[570, 26]"
172,230234930000021111095798,Slaoui,Nadim,93197.78,Inactif,197,backend/app/data/sign_data\197,backend/app/data/sign_data\197_forg,[724]
173,230832080000021234552432,El mokhtar,Bachir,25654.92,Actif,198,backend/app/data/sign_data\198,backend/app/data/sign_data\198_forg,"[454, 531]"
174,230864150000021358009126,Berrada,Najib,54816.24,Inactif,199,backend/app/data/sign_data\199,backend/app/data/sign_data\199_forg,"[141, 544]"
175,230415450000021481465878,Moussaid,Thouriya,87184.5,Inactif,200,backend/app/data/sign_data\200,backend/app/data/sign_data\200_forg,[160]
176,230449220000021604922573,Alami,Bahia,17954.32,Actif,201,backend/app/data/sign_data\201,backend/app/data/sign_data\201_forg,"[534, 979]"
177,230594460000021728379270,Hamzaoui,Cherqi,70122.13,Inactif,202,backend/app/data/sign_data\202,backend/app/data/sign_data\202_forg,"[610, 127]"
178,230805090000021851835903,Chafik,Abdenbi,39489.97,Actif,203,backend/app/data/sign_data\203,backend/app/data/sign_data\203_forg,[408]
179,230928300000021975292631,Fadil,Rahima,46888.31,Actif,204,backend/app/data/sign_data\204,backend/app/data/sign_data\204_forg,"[965, 569]"
180,230120740000022098749351,Chaoui,Zahria,8361.55,Inactif,205,backend/app/data/sign_data\205,backend/app/data/sign_data\205_forg,"[37, 719, 147, 849, 924, 726]"
181,230590710000022222206048,Nait,Lobaba,11434.21,Inactif,206,backend/app/data/sign_data\206,backend/app/data/sign_data\206_forg,[93]
182,230864400000022345662788,Sabir,Ishaq,45481.17,Inactif,207,backend/app/data/sign_data\207,backend/app/data/sign_data\207_forg,"[432, 62]"
183,230174030000022469119419,Said,Jaouhar,65218.8,Inactif,208,backend/app/data/sign_data\208,backend/app/data/sign_data\208_forg,"[510, 198, 156]"
184,230825300000022592576115,Benali,Aliane,38951.14,Actif,209,backend/app/data/sign_data\209,backend/app/data/sign_data\209_forg,"[818, 584, 947]"
185,230237930000022716032824,Naciri,Taher,68969.25,Inactif,210,backend/app/data/sign_data\210,backend/app/data/sign_data\210_forg,"[362, 672]"
186,230819410000022839489525,El alami,Dina,12596.14,Inactif,211,backend/app/data/sign_data\211,backend/app/data/sign_data\211_forg,[125]
187,230966870000022962946256,El habib,Mayada,81773.81,Actif,212,backend/app/data/sign_data\212,backend/app/data/sign_data\212_forg,[847]
188,230876680000023086402918,Khadija,Wiam,8105.27,Inactif,213,backend/app/data/sign_data\213,backend/app/data/sign_data\213_forg,[594]
189,230515660000023209859647,Halim,Aida,47129.89,Actif,214,backend/app/data/sign_data\214,backend/app/data/sign_data\214_forg,"[68, 604]"
190,230199400000023333316342,Nadir,Thouriya,60650.54,Actif,215,backend/app/data/sign_data\215,backend/app/data/sign_data\215_forg,"[364, 154, 394]"
191,230588090000023456773049,Azizi,Chedad,75347.26,Actif,216,backend/app/data/sign_data\216,backend/app/data/sign_data\216_forg,"[100, 65]"
192,230940080000023580229715,Lamrani,Taoufik,55698.03,Actif,217,backend/app/data/sign_data\217,backend/app/data/sign_data\217_forg,[927]
